source_document,page_number,content_type,content
doc.md,7,Q&A,"Q: ผู้ป่วยมีอาการปวดท้อง เข้ารักษา rw.เอกชน ในระบบ สปสช. แพทย์วินิจฉัยเป็นกระดูกหลยอน จะให้นอน rw. ต้องใช้ใบส่งตัวจาก rw. ตามสิทธิหลักประกันสุขภาพแห่งชาติหรือไม่ | A: ไม่ต้องใช้ใบส่งตัว"
doc.md,8,Header 1,สิทธิประโยชน์โรคมะเร็ง
doc.md,8,Header 2,รับบริการที่ไหนก็ได้ที่พร้อม
doc.md,8,Text,(Cancer Anywhere)
doc.md,8,Header 3,Q&A
doc.md,8,Q&A,"Q: หากเป็นผู้ป่วยมะเร็งสามารถติดต่อเข้ารับการรักษาที่ไหนก็ได้ที่พร้อม (Cancer Anywhere) | A: ต้องติดต่อเข้ารับการรักษาที่หน่วยบริการที่เข้าร่วมโครงการ Cancer Anywhere สามารถตรวจสอบรายชื่อหน่วยบริการที่มีความพร้อมในการรักษาโรคมะเร็งได้"
doc.md,8,Q&A,"Q: 1.1 สายด่วน สปสช. 1330 | A: "
doc.md,8,Q&A,"Q: 1.2 Line @nhso | A: "
doc.md,8,Q&A,"Q: 1.3 Link เพื่อดูศึกยภาพหน่วยบริการ | A: "
doc.md,8,Q&A,"Q: https://reghosp.nhso.go.th/hospital_search/index.html | A: "
doc.md,8,Q&A,"Q: นโยบายโรคมะเร็งรับบริการที่ไหนก็ได้ที่พร้อม (Cancer Anywhere) ใช้ได้ในผู้ป่วยมะเร็งทุกชนิด และทุกวิธีการรักษาใช่หรือไม่ | A: นโยบายนี้ใช้ได้กับผู้ป่วยที่ได้รับการวินิจฉัยว่าเป็นมะเร็งแล้ว ใช้ได้กับมะเร็งทุกชนิดและทุกแผนการรักษา"
doc.md,8,Q&A,"Q: ผู้ป่วยเป็นมะเร็งปากมดลูก รพ.ตามสิทธิส่งตัวไปให้เคมีบำบัดที่ รพ.รัฐ ไม่แน่ใจว่าเป็น รพ. ที่เข้าร่วมโครงการ Cancer Anywhere หรือไม่ | A: กรุณาดังกล่าวผู้ป่วยใช้สิทธิได้หรือไม่ กรุณาดังกล่าวคือเป็นการส่งตัวตามระบบปกติ ผู้ป่วยสามารถใช้สิทธิได้"
doc.md,8,Q&A,"Q: เป็นผู้ประกันตน รักษาโรคมะเร็งที่ รพ.เอกชน ต่อนามาหมุดสิทธิ จากการเป็นผู้ประกันตนแล้ว ใช้สิทธิหลักประกันสุขภาพแห่งชาติ | A: รักษามะเร็งต่อเนื่องได้หรือไม่ ได้ หาก รพ. ที่รักษา มีความพร้อมในการรักษาโรคมะเร็งและเข้าร่วมในโครงการ Cancer Anywhere กับ สปสช. ได้ หาก รพ. ที่รักษาอยู่เดิมไม่ได้เข้าร่วมโครงการดังกล่าว ให้ผู้ป่วยนำประวัติการรักษาติดต่อหน่วยบริการที่พร้อมในระบบ สปสช. เท่านั้น"
doc.md,8,Q&A,"Q: ผู้ป่วยยังไม่ได้รับการยืนยันจากแพทย์ผู้รักษาว่าเป็นโรคมะเร็ง เนื่องจากผลยืนยันยังไม่ออก ระหว่างนี้มีภาวะซื้อ หากไปรักษาที่ รพ.รัฐแห่งอื่น ต้องมีใบส่งตัวจาก รพ. ตามสิทธิหรือไม่ | A: หากแพทย์มีนัดรักษาต่อเนื่อง จะต้องมีใบส่งตัวจาก รพ.ตามสิทธิ เว้นแต่ รพ. รับรักษากรณีผู้ป่วยในจังหวัดไม่ต้องใช้ใบส่งตัว"
doc.md,9,Header 1,สิทธิประโยชน์โรคมะเร็ง
doc.md,9,Header 2,รับบริการที่ไหนก็ได้ที่พร้อม
doc.md,9,Text,(Cancer Anywhere)
doc.md,9,Header 3,Q&A
doc.md,9,Q&A,"Q: รักษาโรคมะเร็งจนหายแล้วแพทย์มีนัดตรวจติดตามการรักษา จะต้องใช้ใบส่งตัวจาก SW. ตามสิทธิหรือไม่ | A: ไม่ต้องใช้ใบส่งตัว เนื่องจากนโยบายโรคมะเร็งไปรับบริการที่ไหนก็ได้ที่พร้อม ครอบคลุมการตรวจติดตามผลการรักษา (Follow up) ภายหลังจากการรักษาโรคมะเร็งและรักษาโรคแทรกซ้อนที่พบในการรักษามะเร็งในครั้งนั้น รวมถึงการตรวจทางห้องปฏิบัติการที่เกี่ยวข้อง เช่น X-RAY, CT Scan เป็นต้น"
doc.md,9,Q&A,"Q: หากรอคิวฉายแสง หรือให้เคมีบำบัดนานเป็นเดือน ไม่ถึงคิวนัดสักที ผู้ป่วยเกรงว่ามะเร็งจะลุกลาม ต้องการไปรักษาที่ SW. แห่งอื่นได้หรือไม่ | A: ได้ แนะนำปรึกษาแพทย์ผู้ให้การรักษาเพื่อนำหน่วยบริการที่พร้อมในการรักษาต่อเนื่อง ทั้งนี้ ควรติดต่อสอบถามหรือนัดหมายล่วงหน้ากับหน่วยบริการนั้นก่อน หรือปรึกษาสายด่วน"
doc.md,9,Q&A,"Q: หากต้องการไปรักษาโรคมะเร็ง กับ SW. เฉพาะทาง ต้องทำอย่างไร | A: ต้องนำประวัติที่ได้รับการวินิจฉัยว่าเป็นมะเร็งแล้วไปติดต่อ ทั้งนี้ควรติดต่อ SW.ก่อน เพื่อจองคิวนัดหมายล่วงหน้า"
doc.md,9,Q&A,"Q: ผู้ป่วยเป็นโรคมะเร็งปอด แพทย์สั่งยาที่มีชื่อว่า Erlotinib จะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ยา Erlotinib เป็นยาที่อยู่ในบัญชี จ.(2) ต้องสั่งจ่าย โดยแพทย์เฉพาะทางตามข้อบ่งใช้ตามเงื่อนไขของบัญชียาหลักแห่งชาติ หากแพทย์พิจารณาสั่งจ่ายก็สามารถใช้สิทธิได้"
doc.md,9,Q&A,"Q: ติดต่อเข้ารับบริการกับหน่วยที่เข้าร่วมโครงการ Cancer Anywhere แล้ว แต่เจ้าหน้าที่ให้ญาติ ไปขอหนังสือส่งตัวจากต้นสังกัดร่วมด้วย ทำไม่ได้รับความสะดวก กรณีนี้ต้องทำอย่างไร | A: สามารถแจ้งเรื่องผ่านสายด่วน สปสช. 1330 เพื่อรับเรื่องมาประสานทำความเข้าใจกับหน่วยบริการให้"
doc.md,10,Header 1,สิทธิประโยชน์
doc.md,10,Header 2,ทันตกรรม
doc.md,10,Bulleted List,"สิทธิประโยชน์ด้านทันตกรรม มีอะไรบ้าง"
doc.md,10,Bulleted List,สิทธิประโยชน์คุ้มครอง
doc.md,10,Bulleted List,ถอนฟัน
doc.md,10,Bulleted List,อุดฟัน
doc.md,10,Bulleted List,ขูดหินปูน
doc.md,10,Bulleted List,"ใส่ฟันปลอมฐานพลาสติก ฯลฯ"
doc.md,10,Header 2,Q&A
doc.md,10,Q&A,"Q: ผู้ที่จะใส่ฟันเทียมหรือฟันปลอม ต้องมีอายุ 60 ปีขึ้นไปใช่หรือไม่ | A: ไม่ได้จำกัดอายุ หากแพทย์พิจารณาเห็นว่า มีความจำเป็น ก็สามารถใช้สิทธิได้"
doc.md,10,Q&A,"Q: ฟันเทียมหรือฟันปลอมชารุด ใช้งานยังไม่ครบ 5 ปี จะไปทำไหม | A: ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่"
doc.md,10,Q&A,"Q: ได้ ตามข้อบังชี้ทางการแพทย์ | A: "
doc.md,11,Header 1,สิทธิประโยชน์
doc.md,11,Header 2,ทันตกรรม
doc.md,11,Q&A,"Q: ปวดฟันคุด มีอาการอักเสบ กันตแพทย์แนะนำให้ผ่าตัด จะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: เนื่องจากการผ่าฟันคุด คือวิธีการถอนฟันชนิดหนึ่ง"
doc.md,11,Header 2,คำถาม
doc.md,11,Q&A,"Q: ใช้สิทธิหลักประกันสุขภาพแห่งชาติในการเคลือบฟลูออไรด์ได้หรือไม่ | A: หากเป็นกลุ่มเสี่ยงต่อการเกิดโรคฟันผุ ตามกลุ่มอายุที่ สปสช. กำหนด เช่น เด็ก ผู้สูงอายุ ผู้ป่วยมะเร็งที่ได้รับการฉายแสงบริเวณใบหน้าและลำคอ"
doc.md,11,Header 2,คำถาม
doc.md,11,Q&A,"Q: ต้องการขูดหินปูนและจุดฟันในวันเดียวกัน จะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: หากแพทย์พิจารณาว่ามีความจำเป็น"
doc.md,11,Header 2,คำถาม
doc.md,11,Q&A,"Q: สิทธิหลักประกันสุขภาพแห่งชาติ คุ้มครองการใส่ฟันเทียมแบบซิหรือแบบทั่วไป | A: คุ้มครองการใส่ฟันเทียมถอดได้ทั้งแบบซิและถอดได้ทั่วไป"
doc.md,12,Header 1,สิทธิประโยชน์
doc.md,12,Header 2,ทันตกรรม
doc.md,12,Q&A,"Q: Q&A ต้องการฝังรากฟันเทียม ต้องทำอย่างไร ติดต่อที่ไหน | A: ติดต่อ รพ.ตามสิทธิ เพื่อให้ทันตแพทย์ตรวจประเมิน หากเกินศักยภาพจะพิจารณาส่งต่อไป รพ. ที่มีศักยภาพแทน"
doc.md,12,Q&A,"Q: Q&A ต้องการจัดฟัน ไปติดต่อกลินิกเอกชนใกล้บ้าน แพทย์ตรวจช่องปากแจ้งต้องถอนฟัน ผ่าฟัน เพื่อเตรียมช่องปากในการจัดฟัน กรุณานี้สามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: การเตรียมช่องปากสำหรับจัดฟันเพื่อความสวยงาม ไม่อยู่ในสิทธิหลักประกันสุขภาพแห่งชาติ"
doc.md,12,Q&A,"Q: Q&A เด็กอายุ 3 ปี ผู้ปกครองพาไปตรวจสุขภาพช่องปาก ทันตแพทย์พบว่าฟันกรามผุ แนะนำรักษาโพรงประสาทฟันน้ำนม กรุณานี้ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ได้เนื่องจากการรักษาโพรงประสาทฟันน้ำนมอยู่ในความคุ้มครอง"
doc.md,12,Q&A,"Q: Q&A เด็กชายหลังจากได้รับการผ่าตัดปากแหว่งเพดานไหว แพทย์ตรวจพบความผิดปกติของรูปหงือกและการสมฟัน ทำให้ไม่สามารถเคี้ยวอาหารได้ จึงจำเป็นต้องทำทันตกรรมจัดฟันร่วมด้วย การจัดฟันสำหรับเด็กรายนี้ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ได้เนื่องจากเป็นการรักษาที่มีข้อบ่งชี้ทางการแพทย์"
doc.md,13,Header 1,สิทธิประโยชน์ เกี่ยวกับ
doc.md,13,Header 2,โรคไต้
doc.md,13,Header 3,Q&A
doc.md,13,Q&A,"Q: ผู้ป่วยล้างไต่ผ่านทางช่องท้องตั้งแต่ปี 2556 ทราบข่าวว่า สปสช. เปิดโอกาสให้ผู้ป่วยเลือกวิธีการฟอกไต่ได้โดยไม่มีค่าใช้จ่าย จึงต้องการทราบเงื่อนไขการเลือกวิธีการรักษา | A: หากผู้ป่วยที่เคยล้างไต่ผ่านทางช่องท้อง ก่อนวันที่ 1 ก.พ. 2565 ต้องการเปลี่ยนมาใช้วิธี ฟอกเลือดด้วยเครื่องไตเทียม แนะนำปรึกษาแพทย์เพื่อร่วมตัดสินใจเลือกการรักษาแบบไหน"
doc.md,13,Q&A,"Q: ผู้ป่วยกินยาและรับผิดชอบค่าใช้จ่ายมาโดยตลอด ปัจจุบันแพทย์เห็นควรต้องฟอกไต่ หากต้องการใช้สิทธิหลักประกันสุขภาพแห่งชาติต้องทำอย่างไร | A: ต้องดำเนินการดังนี้ 1. นำประวัติการรักษาติดต่อ รพ.ตามสิทธิ เพื่อให้แพทย์ตรวจประเมิน และร่วมหาแนวทาง การบำบัดทดแทนไต่ที่เหมาะสม 2. หาก รพ.ตามสิทธิ เป็นหน่วยที่สามารถให้บริการบำบัดทดแทนไต่ได้ ก็จะลงทะเบียนผู้ป่วยไว้ในระบบ หรือจะส่งต่อให้หน่วยที่เข้าร่วมโครงการบำบัดทดแทนไต่ ลงทะเบียนให้ผู้ป่วยแทน ในกรณีเกินศักยภาพ"
doc.md,13,Q&A,"Q: เดิมล้างไต่ผ่านทางช่องท้องโดยใช้สิทธิหลักประกันสุขภาพแห่งชาติ ปัจจุบันเปลี่ยนมาใช้สิทธิประกันสังคม จะมีการจัดส่งน้ำยาล้างไต่ให้ถึงบ้านเหมือนเดิมหรือไม่ | A: การจัดส่งน้ำยาล้างไต่ถึงบ้านผู้ป่วย ดำเนินการให้สำหรับผู้มีสิทธิหลักประกันสุขภาพแห่งชาติเท่านั้น หากสิทธิการรักษาเปลี่ยนแปลงการกำหนดวิธีการดูแลผู้ป่วย ให้เป็นไปตามแนวทางและเงื่อนไขของแต่ละกองทุน"
doc.md,14,Header 1,สิทธิประโยชน์ เกี่ยวกับ
doc.md,14,Header 2,โรคไต้
doc.md,14,Header 3,Q&A
doc.md,14,Q&A,"Q: ผู้ป่วยล้างไต่ผ่านทางช่องท้องสมัครเข้าโครงการของ สปสช. และกรณีต้องออกไปทำธุระหรืออยู่ใหม่ สามารถติดต่อรับน้ำยาล้างไต่ที่ได้ | A: "
doc.md,14,Q&A,"Q: ติดต่อขอรับน้ำยาล้างไต่กับหน่วยบริการที่เข้าร่วมโครงการบำบัดทดแทนไต่กับ สปสช. ได้ทุกแห่ง ทั้งนี้ ควรแจ้งให้หน่วยบริการเดิมของตนเองทราบด้วย เพื่อการบริหารจัดการน้ำยาล้างไตระหว่าง 2 หน่วยบริการ และหากย้ายที่พักอาศัยเป็นการถาวร ต้องลงทะเบียนย้ายสิทธิให้ตรงกับที่พักอาศัยจริงร่วมด้วย | A: "
doc.md,14,Header 3,Q&A
doc.md,14,Q&A,"Q: เป็นผู้ป่วยล้างไตผ่านทางช่องท้อง ต้องการเปลี่ยนมาใช้ การล้างไตทางช่องท้องด้วยเครื่องอัตโนมัติ (APD) ต้องทำอย่างไร | A: "
doc.md,14,Q&A,"Q: แนะนำปรึกษาแพทย์ผู้ให้การรักษาเพื่อร่วมตัดสินใจ หากแพทย์ พิจารณาแล้วพบว่า การล้างไตทางช่องท้องด้วยเครื่องอัตโนมัติ มีความเหมาะสมกับผู้ป่วย ก็จะสามารถใช้สิทธิได้ | A: "
doc.md,14,Header 3,Q&A
doc.md,14,Q&A,"Q: ผู้ป่วยฟอกไตด้วยสิทธิหลักประกันสุขภาพแห่งชาติ เข้ารพ. ที่รักษาประจำ แพทย์แจ้งเส้นฟอกเลือดตีบและตัน ต้องทำเส้นฟอกไตใหม่ โดยเรียกเก็บส่วนเกินค่าทำเส้น อยากจะทราบว่า ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: "
doc.md,14,Q&A,"Q: ผู้ป่วยสามารถใช้สิทธิได้ หากมีปัญหาการใช้สิทธิติดต่อสายด่วน สปสช.1330 ตลอด 24 ชม. | A: "
doc.md,15,Header 1,สิทธิประโยชน์เกี่ยวกับโรคไต้
doc.md,15,Header 2,Q&A
doc.md,15,Q&A,"Q: เคยเป็นผู้ประกันตน ใช้สิทธิฟอกเลือดด้วยเครื่องไตเทียมอยู่ในสถานพยาบาลเอกชน เมื่อเปลี่ยนเป็นสิทธิหลักประกันสุขภาพแห่งชาติ สามารถรับบริการต่อเนื่องที่หน่วยเดิมได้เลยหรือไม่? | A: หากหน่วยเดิมเข้าร่วมโครงการบำบัดทดแทนไตกับ สปสช. ผู้ป่วยสามารถใช้สิทธิได้ต่อเนื่อง โดยแจ้งความประสงค์ให้หน่วยดังกล่าวทราบเพื่อบันทึกข้อมูลลงทะเบียนการใช้สิทธิในระบบ แต่หากหน่วยดังกล่าวไม่เข้าร่วม แนะนำขอประวัติการรักษาติดต่อหน่วยบริการตามสิทธิ เพื่อพิจารณาแนวทางรักษาต่อเนื่องต่อไป"
doc.md,15,Q&A,"Q: ผู้ป่วยไตวาย มีสิทธิได้รับการปลูกถ่ายไตหรือไม่? | A: การปลูกถ่ายไต อยู่ในสิทธิประโยชน์หลักประกันสุขภาพแห่งชาติ กึ่งจากไตที่มีผู้บริจาค และจากญาติสายตรง รวมทั้งได้รับยากดภูมิหลังปลูกถ่ายไตโดยไม่เสียค่าใช้จ่ายด้วย แนะนำติดต่อหน่วยตามสิทธิเพื่อลงทะเบียนและพิจารณาส่งต่อ"
doc.md,15,Q&A,"Q: เคยปลูกถ่ายไต โดยเสียค่าใช้จ่ายเอง สามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติรับยากดภูมิต่อเนื่องได้หรือไม่? | A: ได้ โดยนำประวัติการปลูกถ่ายไตและการรับยากดภูมิ ติดต่อหน่วยบริการตามสิทธิ หรือหน่วยบริการที่เข้าร่วมโครงการบำบัดทดแทนไต"
