source_document,page_number,content_type,content
doc2.md,4,Text,เพยแพร่ความรู้เกี่ยวกับสิทธิของประชาชนคนไทยในระบบหลักประกันสุขภาพ แห่งชาติ สำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) จึงได้จัดทำหนังสือ "เรื่องควรรู้...สิทธิหลักประกันสุขภาพแห่งชาติ" โดยได้รวบรวมข้อมูลความรู้ พื้นฐานด้านหลักประกันสุขภาพ เพื่อให้เครือข่ายภาคีต่างๆ และผู้สนใจ ใช้เป็น คู่มือประกอบการเรียนรู้เรื่องหลักประกันสุขภาพแห่งชาติ และนำความรู้ไป ถ่ายทอด ตลอดจนสร้างความเข้าใจ ให้กับครอบครัว ชุมชน และสื่อสารสังคม นำไปสู่การรับรู้ เข้าใจ เข้าถึงบริการในระบบหลักประกันสุขภาพแห่งชาติของ ประชาชนคนไทย
doc2.md,4,Header 2,สำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.)
doc2.md,5,Header 1,สารบัญ
doc2.md,5,Bulleted List,คำนำ 2
doc2.md,5,Bulleted List,หลักการของประกันสุขภาพถ้วน 5
doc2.md,5,Bulleted List,สิทธิหลักประกันสุขภาพของคนไทย 11
doc2.md,5,Bulleted List,รู้จักหน่วยบริการ 16
doc2.md,5,Bulleted List,การใช้สิทธิหลักประกันสุขภาพแห่งชาติ 25
doc2.md,5,Bulleted List,เงื่อนไขอุ่นใจใช้สิทธิบัตรทอง 28
doc2.md,5,Bulleted List,สิทธิบัตรทองคุ้มครองโรคร้ายค่าใช้จ่ายสูง 32
doc2.md,5,Bulleted List,สิทธิการขอรับเงินช่วยเหลือเบื้องต้น 36
doc2.md,5,Bulleted List,กรุณาได้รับความเสียหายจากการรักษาพยาบาล 39
doc2.md,5,Bulleted List,บริการสร้างเสริมสุขภาพและบริการป้องกันโรค 45
doc2.md,5,Bulleted List,กองทุนหลักประกันสุขภาพท้องถิ่น 49
doc2.md,5,Bulleted List,หลักประกันสุขภาพผู้สูงอายุ 53
doc2.md,5,Bulleted List,"สายด่วน สปสช. 1330 56"
doc2.md,5,Bulleted List,"ที่อยู่ สปสช.เขต 1-13 58"
doc2.md,5,Bulleted List,"แผนที่แสดงการจัดพื้นที่ในความรับผิดชอบของ สปสช.เขต 1-13"
doc2.md,6,Header 1,หลักการของประกันสุขภาพถ้วนหน้า
doc2.md,6,Header 2,กราฟิกและสัญลักษณ์
doc2.md,6,Bulleted List,อาคาร: สื่อถึงสถานที่ต่างๆ ในเมือง
doc2.md,6,Bulleted List,รถ: สื่อถึงการขนส่งหรือการเดินทาง
doc2.md,6,Bulleted List,ผู้หญิง: สื่อถึงความสำคัญของการรับรองหรือการช่วยเหลือจากผู้หญิง
doc2.md,6,Header 2,หมายเหตุ
doc2.md,6,Bulleted List,โลโก้และข้อมูลในกราฟิกเป็นเพียงตัวอย่างเท่านั้น และไม่ได้แสดงถึงองค์กรหรือสถาบันใดๆ
doc2.md,7,Header 1,หลักการของหลักประกันสุขภาพถ้วนหน้า
doc2.md,7,Text,"(Universal Health Coverage: UHC)"
doc2.md,7,Header 2,การให้บริการสุขภาพที่เป็นไปตามหลักประกันสุขภาพถ้วนหน้า (UHC) คือ
doc2.md,7,Text,"gการให้สิทธิ์ประชาชนเข้าถึงบริการสุขภาพที่จำเป็นโดยไม่มีอุปสรรคทางการเงิน และมีสุขภาพดีถ้วนหน้า การที่ประเทศไทยมี พ.ร.บ.หลักประกันสุขภาพแห่งชาติ พ.ศ. 2545 ถือเป็นจุดเปลี่ยนสำคัญซึ่งทำให้คนไทยมีสิทธิ์เข้าถึงบริการด้านการแพทย์และสาธารณสุขเพิ่มขึ้น มีการดำเนินงานครอบคลุม 3 มิติ คือ 1) ความครอบคลุมของประชาชั่น (Covered population) 2) ความครอบคลุมของบริการสุขภาพ (Covered services) และ 3) ความครอบคลุมค่าใช้จ่ายสุขภาพ (Covered costs) ปกป้องการล้มละลายของครัวเรือนจากภาระรักษาพยาบาลความสำเร็จดังกล่าวส่งผลให้ประเทศไทยได้รับการยอมรับจากองค์การอนามัยโลกให้เป็นต้นแบบการเรียนรู้ด้านหลักประกันสุขภาพถ้วนหน้าของนานาชาติ"
doc2.md,7,Header 3,แผนภูมิที่ 1 มิติการขยายความครอบคลุมการสร้างระบบหลักประกันสุขภาพถ้วนหน้า
doc2.md,7,Bulleted List,ขยายสิทธิประโยชน์ด้านบริการสุขภาพ: เพื่อให้สิทธิประโยชน์ในการเข้าถึงบริการสุขภาพที่มีอยู่ในประเทศสามารถนำไปใช้ให้กับคนทั่วๆ ไปได้
doc2.md,7,Bulleted List,ลดภาระผู้จ่ายเอง: โดยการลดภาระผู้จ่ายเองจะทำให้คนทั่วๆ ไปสามารถเข้าถึงบริการสุขภาพได้ง่ายมากขึ้น
doc2.md,7,Bulleted List,กองทุนหลักประกันสุขภาพแห่งชาติปัจจุบัน: เป็นแหล่งทุนหลักของการให้บริการสุขภาพแก่ประชาชน
doc2.md,7,Bulleted List,ความครอบคลุมค่าใช้จ่าย: หมายถึง ความครอบคลุมของค่าใช้จ่ายในการให้บริการสุขภาพแก่ประชาชน
doc2.md,7,Bulleted List,ความครอบคลุมบริการ: หมายถึง ความครอบคลุมของบริการสุขภาพที่มีอยู่ในประเทศ
doc2.md,7,Text,"ที่มา: World Health Report 2010, WHO"
doc2.md,8,Text,"จากความสำเร็จของการสร้างหลักประกันสุขภาพถ้วนหน้าของไทยขับเคลื่อน สู่เวทีโลก ส่งผลให้เกิดการสร้างความตระหนักถึงสิทธิสุขภาพที่เป็นพื้นฐานของการมีสุขภาพดีถ้วนหน้า องค์การสหประชาชาติได้กำหนดให้วันที่ 12 ธันวาคม ของทุกปี เป็นวันหลักประกันสุขภาพถ้วนหน้าสากล (Universal Health Coverage Day: UHC Day) เพื่อรณรงค์สร้างความตระหนักสิทธิเข้าถึงบริการสุขภาพของทุกคน และกระตุ้นให้ประเทศสมาชิกทั่วโลกลมีการพัฒนาให้บรรลุ การมีหลักประกันสุขภาพถ้วนหน้าอย่างมั่นคงและยั่งยืน ก่อนปี 2030 (พ.ศ. 2573) สำหรับประเทศไทย ปัจจุบันคนไทยมีสิทธิเข้าถึงบริการสาธารณสุขครอบคลุม ร้อยละ 99.56 ของจำนวนประชากรทั้งประเทศ (ณ กันยายน 2564) โดยรัฐบาล จัดให้มีประกันสุขภาพภาครัฐสำหรับคนไทย 5 ประเภท ดังนี้"
doc2.md,8,Header 2,"1 สิทธิหลักประกันสุขภาพแห่งชาติ (Universal Coverage Scheme, UCS)"
doc2.md,8,Bulleted List,“สิทธิ 30 บาท หรือสิทธิบัตรทอง”
doc2.md,8,Bulleted List,"ประชาชนคนไทยที่มีเลขประจำตัวประชาชน 13 หลัก และไม่มีสิทธิประกันสุขภาพจากหน่วยงานรัฐ มีสิทธิลงทะเบียนเลือกหน่วยบริการประจำเพื่อใช้สิทธิหลักประกันสุขภาพแห่งชาติเข้ารับบริการสาธารณสุขได้โดยไม่ต้องจ่ายค่าบริการ โดยมีสำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) ทำหน้าที่บริหารกองทุนเพื่อให้คนไทยเข้าถึงบริการด้านการแพทย์และสาธารณสุข ทั้งการสร้างเสริมสุขภาพ การป้องกันโรค การตรวจวินิจฉัยโรค การรักษาพยาบาล และการฟื้นฟูสมรรถภาพที่จำเป็นต่อสุขภาพและการดำรงชีวิต รวมถึงบริการการแพทย์แผนไทยและ การแพทย์ทางเลือกตามกฎหมายประกอบโรคศิลปะ"
doc2.md,8,Header 2,2 สิทธิประกันสังคม
doc2.md,8,Bulleted List,โดยสำนักงานประกันสังคม (สปส.) กระทรวงแรงงานและสวัสดิการสังคมทำหน้าที่ดูแลระบบการเบิกจ่ายค่ารักษาพยาบาลให้กับผู้ประกันตนที่ส่งเงินสมทบกองทุนประกันสังคม สามารถเข้ารับบริการรักษาพยาบาลได้ที่โรงพยาบาลที่เลือกลงทะเบียน
doc2.md,9,Text,"3 สิทธิสวัสดิการการรักษาพยาบาลของข้าราชการ โดยมีกรมบัญชีกลาง กระทรวงการคลัง ทำหน้าที่ดูแลระบบออกกฎระเบียบและข้อบังคับ ดูแลสิทธิการรักษาพยาบาลให้กับข้าราชการและบุคคลในครอบครัว (บิดา มารดา คู่สมรส และบุตรที่ถูกต้องตามกฎหมาย) เมื่อเจ็บป่วย สามารถเข้ารับบริการรักษาพยาบาลได้ที่โรงพยาบาลของรัฐ"
doc2.md,9,Text,"4 สิทธิสวัสดิการการรักษาพยาบาลของพนักงานส่วนท้องถิ่น โดยมี กระทรวงมหาดไทย ทำหน้าที่ดูแลระบบ ออกกฎระเบียบและข้อบังคับ เพื่อดูแลสิทธิรักษาพยาบาลให้กับข้าราชการ ข้าราชการเมือง พนักงาน ลูกจ้างประจำขององค์กรปกครองส่วนท้องถิ่น และบุคคล ในครอบครัว เมื่อเจ็บป่วยสามารถเข้ารับบริการรักษาพยาบาลได้ที่ โรงพยาบาลของรัฐ"
doc2.md,9,Text,"5 สิทธิหน่วยงานรัฐอื่นๆ คุมครองบริการรักษาพยาบาลให้กับพนักงาน หน่วยงานรัฐต่างๆ เช่น รัฐวิสาหกิจ องค์การมหาชน หน่วยงานรัฐที่ จัดตั้งตาม พ.ร.บ. เฉพาะ ฯลฯ และอาจคุมครองถึงบุคคลในครอบครัว ด้วย ทั้งนี้ขึ้นกับระเบียบของแต่ละหน่วยงาน"
doc2.md,10,Header 1,แผนภูมิที่ 1
doc2.md,10,Header 2,แสดงความครอบคลุมการมีสิทธิในระบบประกันสุขภาพภาคธุรกิจของประชากรไทย
doc2.md,10,Header 3,ร้อยละความครอบคลุมสิทธิ์ในระบบหลักประกันสุขภาพถ้วนหน้า
doc2.md,10,Header 4,"ปีงบประมาณ 2545 - 2565"
doc2.md,10,Table,"ปี พ.ศ. | ร้อยละความครอบคลุมสิทธิ์ในระบบหลักประกันสุขภาพถ้วนหน้า (UHC) | ร้อยละความครอบคลุมสิทธิ์หลักประกันสุขภาพแห่งชาติ (UCS)"
doc2.md,10,Table,"2545 | 92.47 | 90.70"
doc2.md,10,Table,"2546 | 95.47 | 94.33"
doc2.md,10,Table,"2547 | 97.82 | 97.12"
doc2.md,10,Table,"2548 | 99.16 | 98.90"
doc2.md,10,Table,"2549 | 99.36 | 99.15"
doc2.md,10,Table,"2550 | 99.90 | 99.87"
doc2.md,10,Table,"2551 | 99.84* | 99.78"
doc2.md,10,Table,"2552 | 99.95 | 99.93"
doc2.md,10,Table,"2553 | 99.92 | 99.88"
doc2.md,10,Table,"2554 | 99.92 | 99.90"
doc2.md,10,Table,"2555 | 99.92 | 99.92"
doc2.md,10,Table,"2556 | 99.92 | 99.92"
doc2.md,10,Table,"2557 | 99.92 | 99.92"
doc2.md,10,Table,"2558 | 99.92 | 99.92"
doc2.md,10,Table,"2559 | 99.92 | 99.92"
doc2.md,10,Table,"2560 | 99.92 | 99.92"
doc2.md,10,Table,"2561 | 99.92 | 99.92"
doc2.md,10,Table,"2562 | 99.92 | 99.92"
doc2.md,10,Table,"2563 | 99.92 | 99.92"
doc2.md,10,Table,"2564 | 99.92 | 99.92"
doc2.md,10,Table,"2565 | 99.92 | 99.92"
doc2.md,10,Text,"(2002)(2003)(2004)(2005)(2006)(2007)(2008)(2009)(2010)(2011)(2012)(2013)(2014)(2015)(2016)(2017)(2018)(2019)(2020)(2021)(2022)"
doc2.md,10,Bulleted List,สีฟ้าแทน UHC
doc2.md,10,Bulleted List,สีเขียวแทน UCS
doc2.md,10,Bulleted List,สีแดงแทน OFC
doc2.md,10,Header 3,แผนภูมิที่ 2*
doc2.md,10,Text,แสดงสัดส่วนประชากรแยกตามสิทธิ์
doc2.md,10,Text,"*ที่มา: รายงานการสร้างหลักประกันสุขภาพถ้วนหน้า ประจำปีงบประมาณ 2565"
doc2.md,11,Header 1,แผนภูมิที่ 3
doc2.md,11,Header 2,ผลของการมีระบบหลักประกันสุขภาพแห่งชาติ
doc2.md,11,Header 3,"ร้อยละของครัวเรือนที่ต้องกลายเป็นครัวเรือนยากจนภายหลังจากการจ่ายค่ารักษาพยาบาล (Health impoverishment)"
doc2.md,11,Bulleted List,"Q1(จนที่สุด): สีแดง"
doc2.md,11,Bulleted List,"Q5 (รวยที่สุด): สีเขียว"
doc2.md,11,Bulleted List,ทั้งหมด: สีน้ำเงิน
doc2.md,11,Text,"Source: การสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน สำนักงานสถิติแห่งชาติ ปี พ.ศ. 2531-2564, วิเคราะห์โดย สำนักงานพัฒนานโยบายสุขภาพระหว่างประเทศ (IHPP), กระทรวงสาธารณสุข"
doc2.md,11,Header 1,รูปภาพที่ 4
doc2.md,11,Header 2,ความพึงพอใจของประชาชน ผู้ให้บริการ และองค์กรภาคี ต่อระบบหลักประกันสุขภาพแห่งชาติ
doc2.md,11,Bulleted List,"ประชาชน (Consumers): สีแดง"
doc2.md,11,Bulleted List,"ผู้ให้บริการ (Providers): สีฟ้า"
doc2.md,11,Bulleted List,"องค์กรภาคี (Stakeholders): สีเขียว"
doc2.md,11,Text,"Source: การสำรวจความพึงพอใจของประชาชน ผู้ให้บริการ และองค์กรภาคีเกี่ยวกับระบบหลักประกันสุขภาพแห่งชาติ ปีงบประมาณ 2558-2565 สปสช."
doc2.md,12,Header 1,สิทธิหลักประกันสุขภาพแห่งชาติของคนไทย
doc2.md,12,Header 2,กราฟิกและสัญลักษณ์
doc2.md,12,Bulleted List,🏥 อาคารโรงพยาบาล
doc2.md,12,Bulleted List,🚗 รถแท็กซี่ (TAXI)
doc2.md,12,Bulleted List,👕 คนไข้
doc2.md,12,Bulleted List,📋 เอกสาร/บัตร
doc2.md,12,Bulleted List,💊 เงิน
doc2.md,12,Header 2,หมายเหตุ
doc2.md,12,Bulleted List,รูปภาพประกอบเนื้อหาด้านบน
doc2.md,12,Bulleted List,สีเขียวแทนความสดชื่นและความมั่นคง
doc2.md,13,Header 1,สิทธิหลักประกันสุขภาพแห่งชาติของคนไทย
doc2.md,13,Text,"พ.ร.บ.หลักประกันสุขภาพแห่งชาติ พ.ศ. 2545 กำหนดให้คนไทยทุกคนมีสิทธิได้รับบริการสาธารณสุขที่มีมาตรฐานและมีประสิทธิภาพ โดยจัดให้มี ""กองทุนหลักประกันสุขภาพแห่งชาติ"" เพื่อเป็นค่าใช้จ่ายสนับสนุนและส่งเสริมการจัดบริการสาธารณสุขของหน่วยงานบริการส่งเสริมให้คนไทยสามารถเข้าถึงบริการสาธารณสุขได้อย่างทั่วถึง และมีประสิทธิภาพ โดยมีสำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) ทำหน้าที่บริหารกองทุนให้เป็นไปตามระเบียบที่คณะกรรมการหลักประกันสุขภาพแห่งชาติกำหนด"
doc2.md,13,Text,"""สิทธิหลักประกันสุขภาพแห่งชาติ"" หรือ ""สิทธิบัตรทอง หรือ สิทธิ 30 บาท"" เป็นสิทธิตามกฎหมายที่รัฐบาลจัดให้คนไทยทุกคนตั้งแต่แรกเกิด และตลอดช่วงชีวิต (ไม่ใช่สิทธิเพื่อการสงเคราะห์เฉพาะกลุ่ม)"
doc2.md,13,Header 2,คุณสมบัติของผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ 3 ข้อ
doc2.md,13,Bulleted List,1. เป็นบุคคลที่มีสัญชาติไทย
doc2.md,13,Bulleted List,"2. มีเลขประจำตัวประชาชน 13 หลัก ของกรมการปกครองกระทรวงมหาดไทย"
doc2.md,13,Bulleted List,"3. ไม่มีสิทธิประกันสุขภาพจากหน่วยงานรัฐ (ที่ใช้จ่ายจากเงินงบประมาณของรัฐ) ได้แก่ สิทธิตามกฎหมายประกันสังคม สิทธิสวัสดิการรักษาพยาบาลของข้าราชการ / พนักงานส่วนท้องถิ่น หรือสิทธิสวัสดิการรักษาพยาบาลของหน่วยงานรัฐอื่นๆ เช่น รัฐวิสาหกิจ องค์การมหาชน ข้าราชการการเมือง"
doc2.md,14,Header 1,ใครบ้างมีสิทธิหลักประกันสุขภาพแห่งชาติ?
doc2.md,14,Bulleted List,เด็กแรกเกิด ที่ไม่มีสิทธิสวัสดิการการรักษาพยาบาลข้าราชการจากบิดามารดา
doc2.md,14,Bulleted List,"บุตรข้าราชการที่บรรลุนิติภาวะ (อายุ 20 ปีขึ้นไป หรือสมรส) และไม่มีสิทธิประกันสุขภาพจากหน่วยงานรัฐ"
doc2.md,14,Bulleted List,"บุตรข้าราชการคนที่ 4 ขึ้นไป และไม่มีสิทธิประกันสุขภาพ จากหน่วยงานรัฐ เช่น สิทธิข้าราชการคุมครองบุตรเพียง 3 คน"
doc2.md,14,Bulleted List,ผู้ประกันตนที่ขาดการส่งเงินสมทบกองทุนประกันสังคม (หมดสิทธิประกันสังคม)
doc2.md,14,Bulleted List,ข้าราชการที่เกษียณอายุหรือออกจากราชการโดยมิได้รับบำนาญ
doc2.md,14,Bulleted List,ผู้ประกอบอาชีพอิสระ และไม่ได้เป็นผู้ประกันตน
doc2.md,14,Header 2,กลุ่มคนเหล่านี้มีสิทธิหลักประกันสุขภาพแห่งชาติตามกฎหมาย และสามารถลงทะเบียนเพื่อเลือกหน่วยบริการประจำ โดยไม่เสียค่าใช้จ่าย
doc2.md,14,Text,"คนไทยที่อาศัยอยู่ในต่างประเทศติดต่อกันมากกว่า 2 ปีขึ้นไป (ข้อมูลจากสำนักงานตรวจคนเข้าเมือง) หรือผู้ที่ลงทะเบียนเลือกตั้งในต่างประเทศ (ข้อมูลจากสำนักบริหารการทะเบียน กรมการปกครอง) จะสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติต่อเนื่องเดินทางกลับมาอาศัยอยู่ในประเทศไทยแล้ว โดยประชาชนติดต่อแก้ไขสถานะบุคคล ณ หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติที่อยู่ใกล้บ้าน"
doc2.md,15,Header 1,การตรวจสอบสิทธิหลักประกันสุขภาพแห่งชาติ
doc2.md,15,Text,เพื่อความสะดวกในการใช้สิทธิหลักประกันสุขภาพแห่งชาติได้อย่างถูกต้อง สามารถตรวจสอบสิทธิของตนเองและบุคคลในครอบครัวได้ 3 วิธี ดังนี้
doc2.md,15,Header 2,1 ติดต่อด้วยตนเอง ในวันเวลาราชการ
doc2.md,15,Bulleted List,"ต่างจังหวัด ติดต่อ หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ (เช่น โรงพยาบาลส่งเสริมสุขภาพตำบล (รพ.สต.) ศูนย์บริการสาธารณสุข คลินิกชุมชนอบอุ่น ศูนย์สุขภาพชุมชนเมือง โรงพยาบาลของรัฐ) สำนักงานสาธารณสุขจังหวัด สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 1-12"
doc2.md,15,Bulleted List,"กรุงเทพมหานคร ติดต่อ สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 13 กทม."
doc2.md,15,Header 2,"2 ทางโทรศัพท์ สายด่วน สปสช. โทร. 1330"
doc2.md,15,Bulleted List,"ตรวจสอบสิทธิอัตโนมัติ โทร. 1330 กด 2 ตามด้วยเลขประจำตัวประชาชน 13 หลัก กด # กดโทรออก"
doc2.md,15,Bulleted List,"สอบถามเจ้าหน้าที่บริการข้อมูล โทร. 1330 กด 0"
doc2.md,15,Text,ข้อมูลสิทธิหลักประกันสุขภาพแห่งชาติ ในระบบตรวจสอบสิทธิอัตโนมัติจะปรับปรุงให้เป็นปัจจุบัน ทุกวันที่ 15 และวันที่ 28 ของทุกเดือน
doc2.md,16,Header 1,ผ่านระบบอินเทอร์เน็ต ได้แก่
doc2.md,16,Header 2,"LINE Official Account สปสช."
doc2.md,16,Bulleted List,'เลือกเมนู "ตรวจสอบสิทธิ"'
doc2.md,16,Header 2,"Download on the App Store และ Android app on Google Play"
doc2.md,16,Bulleted List,'เลือกเมนู "ตรวจสอบสิทธิตนเอง หรือคนในครอบครัว"'
doc2.md,16,Header 2,www.nhso.go.th
doc2.md,16,Bulleted List,'เลือกเมนู "ตรวจสอบสิทธิหลักประกันสุขภาพ"'
doc2.md,16,Header 2,Facebook
doc2.md,16,Bulleted List,เฟสบุ๊ค สปสช.
doc2.md,16,Bulleted List,'เลือกเมนู "เข้าเมนูล่องข้อความ"'
doc2.md,17,Header 1,รู้จักหน่วยบริการ
doc2.md,17,Header 2,กราฟิกและสัญลักษณ์
doc2.md,17,Bulleted List,สภาพแวดล้อมที่แสดงโรงพยาบาลและสถานพยาบาลต่างๆ ในเมือง
doc2.md,17,Bulleted List,มีรถยนต์และรถฉุกเฉินปรากฏอยู่บนเส้นทางไปยังโรงพยาบาล
doc2.md,17,Bulleted List,สัญลักษณ์ของประเทศไทยปรากฏในมุมล่างขวาของภาพ
doc2.md,18,Header 1,รู้จักหน่วยบริการ
doc2.md,18,Header 2,"สำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) มีหน้าที่อะไร?"
doc2.md,18,Text,"สำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) เป็นหน่วยงานของรัฐบาลไทยให้เป็นไปตามระเบียบที่คณะกรรมการหลักประกันสุขภาพแห่งชาติกำหนด"
doc2.md,18,Text,"สปสช. จัดระบบลงทะเบียนให้ประชาชนมีหน่วยบริการประจำตัว และระบบขึ้นทะเบียนหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ เพื่อส่งเสริมให้คนไทยเข้าถึงบริการด้านการแพทย์และสาธารณสุข ที่มีคุณภาพมาตรฐานอย่างทั่วถึงตามหลักเกณฑ์ของคณะกรรมการควบคุมคุณภาพมาตรฐานบริการสาธารณสุข"
doc2.md,18,Header 2,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ
doc2.md,18,Bulleted List,โรงพยาบาลศูนย์ โรงพยาบาลทั่วไป โรงพยาบาลชุมชน โรงพยาบาลเอกชน
doc2.md,18,Bulleted List,"โรงพยาบาลสังกัดกรมการปกครองส่วนท้องถิ่น โรงพยาบาลส่งเสริมสุขภาพตำบล (รพ.สต.) หรือที่คุ้นเคยในชื่อสถานีอนามัย คลินิกชุมชนอบอุ่น ศูนย์บริการสาธารณสุข ศูนย์สุขภาพชุมชนเมือง เป็นต้น"
doc2.md,18,Text,"*สถานบริการ หมายถึง สถานบริการสาธารณสุขของรัฐ ของเอกชน และของสถาบันทางไทย หน่วยบริการการประกอบโรคศิลปะสาขาต่าง ๆ และสถานบริการสาธารณสุขอื่น ที่คณะกรรมการกำหนดเพิ่มเติม"
doc2.md,19,Text,"""เครือข่ายหน่วยบริการ"" หมายถึง หน่วยบริการที่รวมตัวกันและขึ้นทะเบียนเป็นเครือข่ายหน่วยบริการ"
doc2.md,19,Text,"หน่วยบริการประจำ หมายถึง หน่วยบริการหรือกลุ่มหน่วยบริการที่ขึ้นทะเบียนเป็นหน่วยบริการประจำ โดยได้รับค่าใช้จ่ายจากกองทุนหลักประกันสุขภาพแห่งชาติ เพื่อบริการสาธารณสุขในลักษณะเหมาจ่ายรายหัว และค่าใช้จ่ายอื่นตามที่คณะกรรมการหลักประกันสุขภาพแห่งชาติกำหนด โดยหน่วยบริการจะต้องมีคุณลักษณะดังนี้"
doc2.md,19,Bulleted List,1. ให้บริการด้านเวชกรรมด้วยตนเอง
doc2.md,19,Bulleted List,"2. จัดบริการสาธารณสุขระดับปฐมภูมิที่จำเป็นต่อสุขภาพและการดำรงชีวิตอย่างเป็นองค์รวม ทั้งการสร้างเสริมสุขภาพ การป้องกันโรค การตรวจวินิจฉัยโรค การรักษาพยาบาล และการฟื้นฟูสมรรถภาพ"
doc2.md,19,Bulleted List,"3. เป็นหน่วยต้นสังกัดของหน่วยบริการปฐมภูมิ และอาจมีหน่วยบริการปฐมภูมิมากกว่า 1 แห่งเป็นเครือข่าย"
doc2.md,19,Bulleted List,4. มีเครือข่ายหน่วยบริการเพื่อการส่งต่อผู้รับบริการไปรับบริการสาธารณสุขในกรณีที่เกินขีดความสามารถ
doc2.md,19,Bulleted List,5. ผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ สามารถเลือกลงทะเบียนในหน่วยบริการประจำ เพื่อเป็นหน่วยบริการประจำตัวของตนเอง ที่จะเข้ารับบริการสาธารณสุขโดยไม่เสียค่าใช้จ่ายใด ตามสิทธิที่กำหนด
